"","intercept","r_squared","filter","terms","sh_filter","sot_filter","players"
"134","log(goals - pk_standard), squad, shots, pos, games, g_minus_x_g_expected",0.543514851504478,"goals > 0 & goals != pk_standard & pos != ""DF""",6,"shots > 0","sot > 0",603
"135","log(goals - pk_standard), squad, shots, pos, games, sot",0.543470328692396,"goals > 0 & goals != pk_standard & pos != ""DF""",6,"shots > 0","sot > 0",603
"136","goals, squad, shots, pos, games, sot, g_minus_x_g_expected",0.532481766923506,"goals > 0 & goals != pk_standard & pos != ""DF""",7,"shots > 0","sot > 0",603
"137","sqrt(goals), shots, pos",0.522142939459567,"goals > 1 & shots > 50",3,"shots > 5","sot > 0",NA
"138","log(goals - pk_standard), shots, pos, nationality_group",0.508680062643786,"goals > 0 & goals != pk_standard & pos != ""DF""",4,"shots > 0","sot > 0",603
"139","log(goals - pk_standard), shots, pos, games, g_minus_x_g_expected",0.500477855288833,"goals > 0 & goals != pk_standard & pos != ""DF""",5,"shots > 0","sot > 0",603
"140","log(goals - pk_standard), shots, pos, games",0.499142210368487,"goals > 0 & goals != pk_standard & pos != ""DF""",4,"shots > 0","sot > 0",603
"141","log(goals - pk_standard), table_position, dist_standard, sh_per_game, age, x_g_expected",0.495002591762926,"goals > 0 & goals != pk_standard",6,"shots > 0","sot > 0",227
"142","log(goals - pk_standard), squad, dist_standard, age",0.480101220124091,"goals > 1 & goals != pk_standard",4,"shots > 5","sot > 0",NA
"143","log(goals - pk_standard), shots, pos",0.468042108467401,"goals > 0 & goals != pk_standard & pos != ""DF""",3,"shots > 0","sot > 0",603
"144","log(goals - pk_standard)",0.368409311022411,"goals > 0 & goals != pk_standard & pos != ""DF""",1,"shots > 0","sot > 0",603
